epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,279.3,1.03481,1.58153,1.21614,0.64624,0.80151,0.7845,0.63123,0.7991,2.63671,1.18641,0.00998195,0.00332732,0.00998195,0.00332732,0.00998195,0.00332732,0.00998195,0.00332732
2,525.045,0.96772,0.89211,1.17526,0.87203,0.86777,0.91036,0.75056,0.71169,1.23109,1.16961,0.0197841,0.00659471,0.0197841,0.00659471,0.0197841,0.00659471,0.0197841,0.00659471
3,746.815,0.97401,0.8389,1.1863,0.7954,0.71172,0.80053,0.58193,1.14834,1.40064,1.45876,0.0293883,0.0097961,0.0293883,0.0097961,0.0293883,0.0097961,0.0293883,0.0097961
4,971.425,0.96942,0.80394,1.18931,0.85174,0.88527,0.91244,0.73684,0.75092,0.74856,1.15191,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1189.64,0.94852,0.75521,1.18147,0.81739,0.84533,0.89834,0.74314,0.73259,0.77401,1.14959,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1408.79,0.92661,0.72528,1.16714,0.87,0.89935,0.91254,0.75379,0.70482,0.83615,1.13513,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1636.49,0.91307,0.7028,1.15929,0.88187,0.8989,0.93029,0.77146,0.6863,0.53708,1.10447,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1860.82,0.89852,0.69083,1.1506,0.89016,0.87754,0.92699,0.76525,0.68272,0.7284,1.10992,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2077.53,0.89628,0.67974,1.15124,0.9148,0.91351,0.9337,0.77784,0.65368,0.64057,1.0998,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2295.09,0.89117,0.66886,1.14732,0.90297,0.90461,0.92089,0.76539,0.64776,0.59226,1.11274,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2513.92,0.88964,0.66592,1.14829,0.91651,0.909,0.93506,0.77636,0.65834,0.52818,1.09786,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2738.9,0.88231,0.66112,1.14124,0.91073,0.9086,0.93008,0.77418,0.64898,0.5192,1.09322,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2962.1,0.87208,0.64895,1.13779,0.92266,0.91017,0.93392,0.77864,0.63715,0.48283,1.09198,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3180.21,0.87367,0.64788,1.13858,0.90281,0.90929,0.93322,0.77112,0.64998,0.52274,1.10076,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3397.77,0.86794,0.64047,1.13389,0.91831,0.91546,0.93107,0.77297,0.63732,0.57809,1.09598,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3615.85,0.86883,0.638,1.13463,0.91898,0.91658,0.93099,0.77401,0.6439,0.53416,1.09637,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3834.04,0.85875,0.63091,1.12891,0.922,0.92013,0.93041,0.77208,0.641,0.5007,1.09728,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4052.62,0.86056,0.62477,1.12924,0.91558,0.92155,0.93009,0.77687,0.63223,0.4978,1.09056,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
